card_id,name,set_id,set_name,series,rarity,snapshot_date,price_low,price_mid,price_market,price_high
sv1-8,Scatterbug,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.11,20.0
sv1-1,Pineco,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.08,10.1
sv1-6,Cacturne,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.12,25.0
sv1-12,Gogoat,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.09,20.0
sv1-13,Sprigatito,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.07,20.0
sv1-15,Meowscarada,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.2,0.17,40.0
sv1-16,Tarountula,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,10.1
sv1-18,Tarountula,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.08,20.0
sv1-20,Smoliv,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.08,19.5
sv1-21,Smoliv,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.12,20.0
sv1-19,Spidops ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.25,0.99,0.56,35.0
sv1-23,Arboliva,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.16,0.13,19.5
sv1-24,Toedscool,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,10.08
sv1-2,Heracross,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.08,10.06
sv1-4,Breloom,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.09,20.0
sv1-7,Tropius,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,20.0
sv1-10,Vivillon,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.13,0.09,20.0
sv1-11,Skiddo,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.09,10.08
sv1-14,Floragato,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.14,10.1
sv1-26,Toedscruel,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.11,0.1,25.0
sv1-3,Shroomish,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.09,10.08
sv1-5,Cacnea,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,10.11
sv1-9,Spewpa,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.12,0.06,25.0
sv1-17,Tarountula,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.09,10.09
sv1-22,Dolliv,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.1,20.0
sv1-25,Toedscool,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.08,20.0
sv1-45,Gyarados ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.55,1.36,1.29,12.95
sv1-29,Scovillain,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.11,20.0
sv1-51,Bruxish,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.09,10.12
sv1-56,Wiglett,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.04,0.15,0.11,18.0
sv1-37,Crocalor,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.13,0.08,20.0
sv1-57,Wugtrio,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.15,0.09,19.5
sv1-38,Skeledirge,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.17,0.14,19.5
sv1-59,Cetoddle,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.14,0.08,20.0
sv1-40,Charcadet,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.09,10.09
sv1-46,Buizel,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.11,0.08,10.1
sv1-60,Cetitan,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.12,0.1,20.0
sv1-49,Clauncher,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.1,0.05,20.0
sv1-50,Clawitzer,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.02,0.13,0.09,20.0
sv1-53,Quaxwell,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.1,0.07,10.08
sv1-54,Quaquaval,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.17,0.14,20.0
sv1-55,Wiglett,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.12,18.0
sv1-27,Capsakid,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.1,10.11
sv1-30,Growlithe,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.15,0.13,20.0
sv1-28,Capsakid,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.03,0.15,0.12,10.07
sv1-32,Arcanine ex,sv1,Scarlet & Violet,Scarlet & Violet,Double Rare,2026-03-19,0.35,0.99,0.9,4321.0
sv1-35,Torkoal,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.11,0.08,20.0
sv1-36,Fuecoco,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.09,20.0
sv1-39,Charcadet,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.13,0.09,20.0
sv1-43,Slowbro,sv1,Scarlet & Violet,Scarlet & Violet,Rare,2026-03-19,0.01,0.25,0.26,50.0
sv1-47,Floatzel,sv1,Scarlet & Violet,Scarlet & Violet,Uncommon,2026-03-19,0.01,0.13,0.09,25.0
sv1-48,Alomomola,sv1,Scarlet & Violet,Scarlet & Violet,Common,2026-03-19,0.01,0.18,0.15,10.12
